original,oa2df,comment
abbreviated_title,abbreviated_title,
alternate_titles,alternate_titles,
apc_prices,"apc_prices.currency, apc_prices.price",
apc_usd,apc_usd,
cited_by_count,cited_by_count,
counts_by_year,counts_by_year,
country_code,country_code,
created_date,created_date,
display_name,display_name,
homepage_url,homepage_url,
host_organization,host_organization,
host_organization_lineage,host_organization_lineage,
host_organization_name,host_organization_name,
id,id,
ids.issn,"ids.issn1, ids.issn2",
ids.issn_l,ids.issn_l,
ids.mag,ids.mag,
ids.openalex,ids.openalex,
ids.wikidata,ids.wikidata,
is_core,NA,
is_in_doaj,is_in_doaj,
is_indexed_in_scopus,is_indexed_in_scopus,
is_oa,is_oa,
issn,issn,
issn_l,issn_l,
societies,societies,
summary_stats.2yr_mean_citedness,summary_stats.2yr_mean_citedness,
summary_stats.h_index,summary_stats.h_index,
summary_stats.i10_index,summary_stats.i10_index,
topic_share,NA,
topics,topics,
type,type,
updated_date,updated_date,
works_api_url,works_api_url,
works_count,works_count,
x_concepts,NA,
